Name,Set,Card Number,Color,Rarity,Card Type,Property
Ariel - On Human Legs,1,1,Amber,Uncommon,Character,Little Mermaid
Ariel - Spectacular Singer,1,2,Amber,Super Rare,Character,Little Mermaid
Cinderella - Gentle and Kind,1,3,Amber,Uncommon,Character,Cinderella
Goofy - Musketeer,1,4,Amber,Uncommon,Character,Classic Disney
Hades - King of Olympus,1,5,Amber,Rare,Character,Hercules
Hades - Lord of the Underworld,1,6,Amber,Rare,Character,Hercules
HeiHei - Boat Snack,1,7,Amber,Common,Character,Moana
LeFou - Bumbler,1,8,Amber,Uncommon,Character,Beauty and the Beast
Lilo - Making a Wish,1,9,Amber,Rare,Character,Lilo and Stitch
Maximus - Palace Horse,1,10,Amber,Super Rare,Character,Tangled
Maximus - Relentless Pursuer,1,11,Amber,Uncommon,Character,Tangled
Mickey Mouse - True Friend,1,12,Amber,Uncommon,Character,Classic Disney
Minnie Mouse - Beloved Princess,1,13,Amber,Common,Character,Classic Disney
Moana - Of Motunui,1,14,Amber,Rare,Character,Moana
Mr. Smee - Loyal First Mate,1,15,Amber,Common,Character,Peter Pan
Prince Phillip - Dragonslayer,1,16,Amber,Uncommon,Character,Sleeping Beauty
Pumbaa - Friendly Warthog,1,17,Amber,Common,Character,Lion King
Rapunzel - Gifted with Healing,1,18,Amber,Legendary,Character,Tangled
Sebastian - Court Composer,1,19,Amber,Common,Character,Tangled
Simba - Protective Cub,1,20,Amber,Common,Character,Lion King
Stitch - Carefree Surfer,1,21,Amber,Legendary,Character,Lilo and Stitch
Stitch - New Dog,1,22,Amber,Common,Character,Lilo and Stitch
Stitch - Rock Star,1,23,Amber,Super Rare,Character,Lilo and Stitch
Timon - Grub Rustler,1,24,Amber,Common,Character,Lion King
Anna - Heir to Arendelle,1,35,Amethyst,Uncommon,Character,Frozen
Archimedes - Highly Educated Owl,1,36,Amethyst,Common,Character,Sword in the Stone
Dr. Facilier - Agent Provocateur,1,37,Amethyst,Rare,Character,Princess and the Frog
Dr. Facilier - Charlatan,1,38,Amethyst,Common,Character,Princess and the Frog
Dr. Facilier - Remarkable Gentleman,1,39,Amethyst,Rare,Character,Princess and the Frog
Elsa - Queen Regent,1,40,Amethyst,Common,Character,Frozen
Elsa - Snow Queen,1,41,Amethyst,Uncommon,Character,Frozen
Elsa - Spirit of Winter,1,42,Amethyst,Legendary,Character,Frozen
Flotsam - Ursula's Spy,1,43,Amethyst,Rare,Character,Little Mermaid
Jafar - Keeper of Secrets,1,44,Amethyst,Rare,Character,Aladdin
Jafar - Wicked Sorcerer,1,45,Amethyst,Common,Character,Aladdin
Jetsam - Ursula's Spy,1,46,Amethyst,Common,Character,Little Mermaid
Magic Broom - Bucket Brigade,1,47,Amethyst,Common,Character,Fantasia
Maleficent - Biding Her Time,1,48,Amethyst,Rare,Character,Sleeping Beauty
Maleficent - Sorceress,1,49,Amethyst,Common,Character,Sleeping Beauty
Marshmallow - Persistent Guardian,1,50,Amethyst,Super Rare,Character,Frozen
Mickey Mouse - Wayward Sorcerer,1,51,Amethyst,Super Rare,Character,Classic Disney
Olaf - Friendly Snowman,1,52,Amethyst,Uncommon,Character,Frozen
Pascal - Rapunzel's Companion,1,53,Amethyst,Uncommon,Character,Tangled
Rafiki - Mysterious Sage,1,54,Amethyst,Uncommon,Character,Lion King
Sven - Official Ice Deliverer,1,55,Amethyst,Uncommon,Character,Frozen
The Queen - Wicked and Vain,1,56,Amethyst,Super Rare,Character,Snow White
The Wardrobe - Belle's Confidant,1,57,Amethyst,Common,Character,Beauty and the Beast
Tinker Bell - Peter Pan's Ally,1,58,Amethyst,Common,Character,Peter Pan
